,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
139,460.28776807380945,146.37504318076242,226.47275265192818,245.60112661125947,227.04286649695837,180.80231376860522,133.15702419822114,224.0628775899142
140,463.4623691633163,146.47554115248002,227.35505128047885,247.0199272509771,227.30723916834222,180.8105462899203,133.1473291389036,224.11706780604433
141,466.6369702528231,146.57610812395401,228.23734990902952,248.44692408785002,227.5663243862984,180.8183207954042,133.13782798077239,224.16893540156903
142,469.81157134232996,146.67674414255814,229.1196485375802,249.88216447007213,227.82022789989543,180.82566274864593,133.1285168458038,224.21857941908416
143,472.9861724318368,146.77744925569868,230.00194716613086,251.3256960193607,228.06905334322053,180.83259619953418,133.1193919335346,224.2660947204409
144,476.16077352134363,146.87822351081448,230.88424579468153,252.77756663253646,228.31290227767914,180.83914386253153,133.11044951951075,224.31157215961068
145,479.33537461085047,146.9790669553769,231.7665444232322,254.23782448311292,228.5518742334486,180.84532719063805,133.1016859537674,224.3550987487101
146,482.5099757003573,147.07997963689,232.64884305178288,255.7065180228946,228.78606675010263,180.85116644527866,133.09309765933892,224.39675781742986
147,485.68457678986414,147.1809616028903,233.53114168033355,257.18369598358487,229.0155754164236,180.85668076233702,133.084681130799,224.43662916610512
148,488.859177879371,147.2820129009471,234.41344030888422,258.66940737840275,229.24049390941812,180.86188821454613,133.07643293282987,224.47478921265935
149,492.0337789688778,147.38313357866232,235.2957389374349,260.16370150370926,229.46091403255278,180.8668058704353,133.06834969882013,224.5113111336456
150,495.20838005838465,147.4843236836705,236.17803756598556,261.666627940643,229.67692575322474,180.87144985002155,133.0604281294906,224.5462649996045
151,498.3829811478915,147.585583263639,237.06033619453623,263.1782365567654,229.88861723948327,180.87583537742412,133.05266499154763,224.57971790495054
152,501.5575822373983,147.68691236626776,237.9426348230869,264.6985775077152,230.0960748960166,180.8799768305706,133.04505711636355,224.6117340925925
